Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2015-08-07,57.15,57.15,57.15,57.15,-0.7,,,6666.0,,,65.0
2015-08-06,57.85,57.85,57.85,57.85,0.35,,,6671.0,,,50.0
2015-08-05,56.8,57.5,56.8,57.5,0.45,56.8,1.0,6666.0,,,5.0
2015-08-04,57.05,57.05,57.05,57.05,0.65,57.05,1.0,6596.0,,,70.0
2015-08-03,56.4,56.4,56.4,56.4,-0.35,,,6596.0,,,35.0
2015-07-31,58.45,58.45,58.45,58.45,0.0,,,6205.0,,,
2015-07-30,58.45,58.45,58.45,58.45,0.0,,,6205.0,,,5.0
2015-07-29,58.45,58.45,58.45,58.45,0.0,,,6205.0,,,
2015-07-28,58.45,58.45,58.45,58.45,-0.1,,,6210.0,,,5.0
2015-07-27,58.55,58.55,58.55,58.55,0.0,,,6210.0,,,20.0
2015-07-24,58.55,58.55,58.55,58.55,0.05,,,6205.0,,,15.0
2015-07-23,58.5,58.5,58.5,58.5,-0.1,,,6200.0,,,
2015-07-22,58.6,58.6,58.6,58.6,0.0,,,6200.0,,,
2015-07-21,58.6,58.6,58.6,58.6,0.05,,,6200.0,,,
2015-07-20,58.55,58.55,58.55,58.55,0.15,,,6200.0,,,
2015-07-17,58.4,58.4,58.4,58.4,0.05,,,6200.0,,,
2015-07-16,58.35,58.35,58.35,58.35,0.0,,,6205.0,,,5.0
2015-07-15,58.35,58.35,58.35,58.35,-0.2,,,6191.0,,,10.0
2015-07-14,58.65,58.65,58.55,58.55,0.0,58.65,4.0,6190.0,,,30.0
2015-07-13,58.55,58.55,58.55,58.55,-0.2,,,6190.0,,,55.0
2015-07-10,58.75,58.75,58.75,58.75,0.25,,,6195.0,,,
2015-07-09,58.5,58.5,58.5,58.5,0.15,,,6190.0,,,10.0
2015-07-08,58.35,58.35,58.35,58.35,0.2,,,6185.0,,,5.0
2015-07-07,58.15,58.15,58.15,58.15,-0.35,,,6175.0,,,23.0
2015-07-06,58.5,58.5,58.5,58.5,-0.45,,,6175.0,,,20.0
2015-07-03,58.95,58.95,58.95,58.95,-0.55,,,6165.0,,,
2015-07-02,59.5,59.5,59.5,59.5,-0.25,,,6165.0,,,40.0
2015-07-01,59.75,59.75,59.75,59.75,-0.45,,,6190.0,,,40.0
2015-06-30,59.4,60.2,59.4,60.2,1.1,59.75,2.0,6146.0,,,5.0
2015-06-29,59.1,59.1,59.1,59.1,0.0,,,6147.0,,,5.0
