Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2011-05-16,119.75,119.75,119.75,119.75,0.4,,,1565.0,,,
2011-05-13,119.35,119.35,119.35,119.35,-0.95,,,1565.0,,,
2011-05-12,120.3,120.3,120.3,120.3,-1.2,,,1560.0,,5.0,
2011-05-11,121.5,121.5,121.5,121.5,-0.75,,,1560.0,,20.0,
2011-05-10,122.25,122.25,122.25,122.25,-0.7,,,1660.0,,145.0,
2011-05-09,122.95,122.95,122.95,122.95,-0.4,,,1615.0,,55.0,
2011-05-06,123.35,123.35,123.35,123.35,-0.3,,,1615.0,,,
2011-05-05,123.65,123.65,123.65,123.65,-0.8,,,1615.0,,,
2011-05-04,124.45,124.45,124.45,124.45,0.4,,,1640.0,,,
2011-05-03,124.05,124.05,124.05,124.05,0.0,,,1640.0,5.0,5.0,
2011-05-02,122.8,122.8,122.8,122.8,0.0,,,1495.0,,,
2011-04-29,122.8,122.8,122.8,122.8,0.0,,,1495.0,,,
2011-04-28,122.8,122.8,122.8,122.8,0.35,,,1495.0,,,
2011-04-27,122.45,122.45,122.45,122.45,0.0,,,1495.0,,,
2011-04-26,122.45,122.45,122.45,122.45,-0.1,,,1495.0,,,
2011-04-25,122.55,122.55,122.55,122.55,,,,1495.0,,,
2011-04-21,122.55,122.55,122.55,122.55,-0.05,,,1500.0,,,
2011-04-20,122.6,122.6,122.6,122.6,0.3,,,1500.0,,,
2011-04-19,122.3,122.3,122.3,122.3,-0.05,,,1495.0,,,
2011-04-18,122.35,122.35,122.35,122.35,-0.8,,,1495.0,,,
2011-04-15,123.15,123.15,123.15,123.15,0.5,,,1495.0,,,
2011-04-14,122.65,122.65,122.65,122.65,0.0,,,1495.0,,,
2011-04-13,122.65,122.65,122.65,122.65,0.75,,,1495.0,,,
2011-04-12,121.9,121.9,121.9,121.9,-0.6,,,1490.0,,,
2011-04-11,122.5,122.5,122.5,122.5,-0.15,,,1495.0,,,
2011-04-08,122.65,122.65,122.65,122.65,0.3,,,1470.0,,5.0,
2011-04-07,122.35,122.35,122.35,122.35,-0.1,,,1510.0,,25.0,
2011-04-06,122.45,122.45,122.45,122.45,-0.05,,,1475.0,,,
2011-04-05,122.5,122.5,122.5,122.5,-1.3,,,1440.0,,,
2011-04-04,123.8,123.8,123.8,123.8,0.3,,,1440.0,,,
2011-04-01,123.5,123.5,123.5,123.5,0.3,,,1425.0,,,
2011-03-31,123.2,123.2,123.2,123.2,3.05,,,1415.0,,,
2011-03-30,120.15,120.15,120.15,120.15,-0.2,,,1390.0,,25.0,
2011-03-29,120.35,120.35,120.35,120.35,-1.3,,,1375.0,5.0,,
2011-03-25,125.8,125.8,125.8,125.8,0.65,,,1493.0,,,
2011-03-24,125.15,125.15,125.15,125.15,-0.4,,,1493.0,,,
2011-03-23,125.55,125.55,125.55,125.55,1.1,,,1493.0,,,
2011-03-22,124.45,124.45,124.45,124.45,-0.4,,,1493.0,,,
2011-03-21,124.85,124.85,124.85,124.85,0.85,,,1493.0,,,
2011-03-18,124.0,124.0,124.0,124.0,0.5,,,1493.0,,,
2011-03-17,123.5,123.5,123.5,123.5,-5.65,,,1493.0,,,
2011-03-16,129.15,129.15,129.15,129.15,-0.1,,,1493.0,,,
2011-03-15,129.25,129.25,129.25,129.25,0.1,,,1493.0,,,
2011-03-14,129.15,129.15,129.15,129.15,-0.85,,,1493.0,,,
2011-03-11,130.0,130.0,130.0,130.0,0.55,,,1493.0,,20.0,
2011-03-10,129.45,129.45,129.45,129.45,-0.5,,,1493.0,,5.0,
2011-03-09,129.95,129.95,129.95,129.95,-0.15,,,1493.0,,105.0,
2011-03-08,130.1,130.1,130.1,130.1,-0.5,,,1443.0,,55.0,
2011-03-07,130.6,130.6,130.6,130.6,-0.9,,,1443.0,,,
2011-03-04,131.5,131.5,131.5,131.5,1.1,,,1443.0,,,
2011-03-03,130.4,130.4,130.4,130.4,-0.2,,,1443.0,,,
2011-03-02,130.6,130.6,130.6,130.6,-0.3,,,1443.0,,,
2011-03-01,130.9,130.9,130.9,130.9,-0.05,,,1438.0,,5.0,
2011-02-25,129.0,129.0,129.0,129.0,1.5,,,1325.0,,,
2011-02-24,127.5,127.5,127.5,127.5,-0.4,,,1325.0,,,
2011-02-23,127.9,127.9,127.9,127.9,1.65,,,1325.0,,,
2011-02-22,126.25,126.25,126.25,126.25,-1.0,,,1350.0,,25.0,
2011-02-21,127.25,127.25,127.25,127.25,0.55,,,1350.0,,,
2011-02-18,126.7,126.7,126.7,126.7,0.7,,,1350.0,,,
2011-02-17,126.0,126.0,126.0,126.0,0.5,,,1380.0,,55.0,
2011-02-16,125.5,125.5,125.5,125.5,0.6,,,1380.0,,5.0,
2011-02-15,124.9,124.9,124.9,124.9,0.4,,,1380.0,,,
2011-02-14,124.5,124.5,124.5,124.5,1.0,,,1380.0,,,
2011-02-11,123.5,123.5,123.5,123.5,0.35,,,1380.0,,,
2011-02-10,123.15,123.15,123.15,123.15,0.35,,,1380.0,,,
2011-02-09,122.8,122.8,122.8,122.8,-0.65,,,1380.0,,32.0,
2011-02-08,123.45,123.45,123.45,123.45,-0.05,,,1380.0,,,
2011-02-07,123.5,123.5,123.5,123.5,-3.5,,,1380.0,,,
2011-02-04,127.0,127.0,127.0,127.0,-0.35,,,1370.0,,10.0,
2011-02-03,127.35,127.35,127.35,127.35,-0.5,,,1345.0,,35.0,
2011-02-02,127.85,127.85,127.85,127.85,-1.5,,,1335.0,,10.0,
2011-02-01,129.35,129.35,129.35,129.35,-0.05,,,1325.0,,10.0,
2011-01-28,130.35,130.35,130.35,130.35,2.35,,,1365.0,,,
2011-01-27,128.0,128.0,128.0,128.0,0.25,,,1365.0,,,
2011-01-26,127.75,127.75,127.75,127.75,-1.5,,,1365.0,,,
2011-01-25,129.25,129.25,129.25,129.25,-0.4,,,1360.0,,5.0,
2011-01-24,129.65,129.65,129.65,129.65,-2.25,,,1360.0,,,
2011-01-21,131.9,131.9,131.9,131.9,-1.05,,,1345.0,,,
2011-01-20,132.95,132.95,132.95,132.95,-0.8,,,1350.0,,5.0,
2011-01-19,133.75,133.75,133.75,133.75,0.2,,,1345.0,,5.0,
2011-01-18,133.55,133.55,133.55,133.55,0.0,,,1345.0,,,
